WB_Code,Year,Population,GDP,GDP_per_capita
THA,1979,44718434.0,27371650824.5092,612.08876018577
THA,1980,45650022.0,32353514988.7287,708.729450091584
THA,1981,46575855.0,34846039193.6131,748.156726132308
THA,1982,47494577.0,36589772403.7566,770.398953205891
THA,1983,48423309.0,40042798388.4951,826.932302137698
THA,1984,49351708.0,41797647775.6238,846.934168430884
THA,1985,50270753.0,38900711332.5373,773.823923674613
THA,1986,51177834.0,43096773980.8569,842.098436226451
THA,1987,52074105.0,50535446554.8769,970.452522513385
THA,1988,52969595.0,61667253471.3736,1164.20096229495
THA,1989,53848956.0,72250748099.9762,1341.72978395303
THA,1990,54738329.0,85343190719.0107,1559.11209344755
THA,1991,55637434.0,98234714971.0612,1765.62267359529
THA,1992,56528834.0,111452746517.655,1971.60879910694
THA,1993,57408198.0,128889262951.157,2245.13688708983
THA,1994,58260854.0,146683778959.101,2517.70732641683
THA,1995,59098232.0,169278916592.843,2864.36515719866
THA,1996,59920064.0,183035237429.281,3054.65690806473
THA,1997,60724584.0,150180456565.728,2473.14096982086
THA,1998,61522630.0,113675596787.738,1847.70379269771
THA,1999,62299043.0,126669211778.94,2033.24490520569
THA,2000,63007815.0,126392224253.794,2005.97694514234
THA,2001,63651141.0,120296476180.402,1889.93432467144
THA,2002,64266437.0,134300904400.022,2089.75183111554
THA,2003,64868166.0,152280615245.887,2347.54001286066
THA,2004,65452047.0,172895685154.658,2641.56268717857
THA,2005,66017420.0,189318408468.595,2867.70383436062
THA,2006,66567687.0,221758296021.621,3331.32043511773
THA,2007,67102394.0,262942621455.053,3918.52817434581
THA,2008,67619830.0,291382982430.951,4309.13509292986
THA,2009,68121080.0,281710630187.319,4135.43986952819
THA,2010,68579447.0,341104766329.17,4973.86288823778
THA,2011,69007208.0,370818739623.622,5373.6232832898
THA,2012,69436098.0,397558325278.579,5725.52802835463
THA,2013,69845114.0,420333654592.547,6018.08244729255
THA,2014,70216367.0,407339040197.651,5801.1978916205
THA,2015,70540795.0,401296238228.084,5688.85335397884
THA,2016,70859841.0,413366349747.508,5833.57715617098
THA,2017,71160187.0,456356813536.764,6413.09182530343
THA,2018,71376079.0,506754208404.485,7099.77650081458
THA,2019,71522271.0,543976691793.886,7605.69657797759
THA,2020,71641484.0,500461898480.246,6985.64393892574
THA,2021,71727332.0,506194668789.937,7057.20754802279
THA,2022,71735329.0,495644697587.661,6909.35281815827
THA,2023,71702435.0,515906283940.933,7195.10130919449
THA,2024,71668011.0,526517658841.684,7346.62022142185
TJK,1960,2112131.0,,
TJK,1961,2181805.0,,
TJK,1962,2255026.0,,
TJK,1963,2331736.0,,
TJK,1964,2411260.0,,
TJK,1965,2492998.0,,
TJK,1966,2577184.0,,
TJK,1967,2664130.0,,
TJK,1968,2753848.0,,
TJK,1969,2845273.0,,
TJK,1970,2936779.0,,
TJK,1971,3028837.0,,
TJK,1972,3123691.0,,
TJK,1973,3222290.0,,
TJK,1974,3324499.0,,
TJK,1975,3430425.0,,
TJK,1976,3540076.0,,
TJK,1977,3653265.0,,
TJK,1978,3768508.0,,
TJK,1979,3882691.0,,
TJK,1980,3995256.0,,
TJK,1981,4109022.0,,
TJK,1982,4227171.0,,
TJK,1983,4350874.0,,
TJK,1984,4480026.0,,
TJK,1985,4619003.0,,
TJK,1986,4772139.0,,
TJK,1987,4939059.0,,
TJK,1988,5114989.0,,
TJK,1989,5267249.0,,
TJK,1990,5398768.0,2629395066.27017,487.03612866309
TJK,1991,5541205.0,2536585365.85366,457.767825924805
TJK,1992,5649400.0,1908554572.27139,337.833145514813
TJK,1993,5724993.0,1646623195.15603,287.620123754917
TJK,1994,5825368.0,1522001205.54551,261.271254544865
TJK,1995,5948584.0,1231561860.39946,207.034457343036
TJK,1996,6066523.0,1043654822.33503,172.035088688368
TJK,1997,6139829.0,921518032.909326,150.088550171239
TJK,1998,6176397.0,1320199581.52261,213.749145581577
TJK,1999,6208370.0,1086612290.27171,175.023764735625
TJK,2000,6284735.0,860541842.263697,136.925716400723
TJK,2001,6407377.0,1080772551.29433,168.676285365186
TJK,2002,6531669.0,1221106220.2868,186.951638285222
TJK,2003,6658575.0,1555318261.4172,233.58124845289
TJK,2004,6790547.0,2076176869.41089,305.745158587502
