Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
2026,ARM,0,0,0,0,0,0,0,0,0.0,ARM,,,,,2.0,Continental,5.0,7.0,,,,,,,,,
1994,ASA,0,0,0,0,0,0,0,0,0.0,ASM,51251.0,,,,,,,,,0.0,,,,0.0,,,
2022,ASA,0,0,0,0,0,0,0,0,0.0,ASM,48342.0,871000000.0,18017.4589383973,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1960,AUS,0,0,0,0,1,0,0,1,0.0,AUS,10276477.0,18635682981.7093,1813.43109917039,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1964,AUS,0,0,0,0,1,0,0,1,0.0,AUS,11167000.0,23835843813.735,2134.48946124608,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1968,AUS,0,0,0,0,1,0,0,1,0.0,AUS,12009000.0,32763365242.1384,2728.23426114901,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1972,AUS,0,0,0,0,1,0,0,1,0.0,AUS,13177000.0,52117990654.2056,3955.22430403017,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1976,AUS,0,0,0,0,1,0,0,1,0.0,AUS,14033000.0,105209354855.787,7497.28175413577,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,AUS,0,0,0,0,1,0,0,1,0.0,AUS,14692000.0,150200557103.064,10223.2886675105,,3.0,Temperate,12.0,4.0,5.64617013931274,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,AUS,0,0,0,0,1,0,0,1,0.0,AUS,15579391.0,193749932078.26,12436.2969052038,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,AUS,0,0,0,0,1,0,0,1,0.0,AUS,16532164.0,236461079970.431,14303.093047615,,3.0,Temperate,12.0,4.0,4.90701007843018,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,AUS,0,0,0,0,1,0,0,1,0.0,AUS,17478635.0,325982966981.415,18650.3675476612,0.868,3.0,Temperate,12.0,4.0,4.6827597618103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,AUS,0,0,1,1,1,0,0,1,0.0,AUS,17805468.0,323269456935.317,18155.6282000179,0.873,3.0,Temperate,12.0,4.0,5.24482011795044,0.05616252265876977,0.0030933946234211977,0.5507933897869829,1.145475372279496,0.0,0.0,0.0,0.0
1998,AUS,0,0,1,1,1,0,1,2,0.3333333333333333,AUS,18607584.0,400361527504.578,21516.0403147759,0.891,3.0,Temperate,12.0,4.0,,0.053741528185496844,0.0024977424934731407,0.464769532576708,1.122334455667789,0.0,0.0,0.0,0.0
2002,AUS,2,0,0,2,1,0,2,3,0.6666666666666666,AUS,19495210.0,396436967262.563,20335.0960191023,0.902,3.0,Temperate,12.0,4.0,,0.10258930270563897,0.005044938199911578,0.9835212964429811,2.2172949002217295,0.10258930270563897,0.005044938199911578,0.9835212964429811,2.2172949002217295
2006,AUS,1,0,1,2,3,0,2,5,1.3333333333333333,AUS,20450966.0,749708370332.989,36658.8243476122,0.917,3.0,Temperate,12.0,4.0,,0.09779489144913742,0.002667703975496077,0.5455712330093508,2.1810250817884405,0.04889744572456871,0.0013338519877480386,0.2727856165046754,1.0905125408942202
