Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2024,CHN,40,27,24,91,392,130,60,53,32,167,70,57,40
2024,CIV,0,0,1,1,12,1,0,0,1,1,0,0,1
2024,CMR,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,COD,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,COK,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,COL,0,3,1,4,91,4,0,3,1,4,0,3,1
2024,COM,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,CPV,0,0,1,1,7,1,0,0,1,1,0,0,1
2024,CRC,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,CRO,2,2,3,7,73,20,3,14,3,20,3,14,3
2024,CUB,2,1,6,9,60,9,2,1,6,9,2,1,6
2024,CYP,0,1,0,1,15,1,0,1,0,1,0,1,0
2024,CZE,3,0,2,5,111,9,4,0,5,9,4,0,5
2024,DEN,2,2,5,9,125,41,17,4,20,41,17,4,20
2024,DJI,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,DMA,1,0,0,1,4,1,1,0,0,1,1,0,0
2024,DOM,1,0,2,3,61,3,1,0,2,3,1,0,2
2024,ECU,1,2,2,5,40,5,1,3,2,6,1,3,2
2024,EGY,1,1,1,3,157,3,1,1,1,3,1,1,1
