WB_Code,Year,Education_Spending_pct_GDP
MUS,1990,3.12822008132935
MUS,1991,3.46325993537903
MUS,1999,3.88741993904114
MUS,2000,3.71903991699219
MUS,2001,3.07347989082336
MUS,2002,3.02024006843567
MUS,2003,4.35717010498047
MUS,2004,4.25577020645142
MUS,2005,4.02402019500732
MUS,2006,3.64839005470276
MUS,2007,3.18540000915527
MUS,2008,3.06307005882263
MUS,2009,3.04731011390686
MUS,2010,3.55147004127502
MUS,2011,3.33207011222839
MUS,2012,3.41820001602173
MUS,2013,3.56775999069214
MUS,2014,4.81514978408813
MUS,2015,4.75847005844116
MUS,2016,4.88207006454468
MUS,2017,4.87887001037598
MUS,2018,4.67447996139526
MUS,2019,4.54195022583008
MUS,2020,4.35243988037109
MUS,2021,4.67151021957397
MUS,2022,4.84085988998413
MUS,2023,4.56763982772827
MYS,1971,4.55094003677368
MYS,1979,5.08760976791382
MYS,1980,5.72619009017944
MYS,1981,6.69696998596191
MYS,1982,7.03278017044067
MYS,1984,5.66629981994629
MYS,1985,6.1111102104187
MYS,1986,7.24336004257202
MYS,1987,6.32600021362305
MYS,1992,5.11143016815185
MYS,1993,4.65463018417358
MYS,1994,4.70528984069824
MYS,1995,4.3425498008728
MYS,1996,4.91384983062744
MYS,1997,4.62037992477417
MYS,1999,5.68678998947144
MYS,2000,5.9716100692749
MYS,2001,7.48446989059448
MYS,2002,7.65792989730835
MYS,2003,7.50288009643555
MYS,2004,5.92389011383057
MYS,2006,4.48576021194458
MYS,2007,4.37253999710083
MYS,2008,3.95851993560791
MYS,2009,5.97418022155762
MYS,2010,4.96645021438599
MYS,2011,5.76293992996216
MYS,2012,5.73902988433838
MYS,2013,5.48120021820068
MYS,2014,5.21263980865479
MYS,2015,4.89486980438232
MYS,2016,4.75192022323608
MYS,2017,4.6753101348877
MYS,2018,4.47865009307861
MYS,2019,4.15776014328003
MYS,2020,3.91176009178162
MYS,2021,4.26109393398867
MYS,2022,3.49933781956284
MYS,2023,3.51480007171631
NAM,1999,7.13076019287109
NAM,2000,6.901780128479
NAM,2001,6.88886976242065
NAM,2002,6.7423300743103
NAM,2003,6.13713979721069
NAM,2006,6.03171014785767
NAM,2008,6.40342998504639
NAM,2010,8.24330043792725
NAM,2011,8.02137930818109
NAM,2012,9.24281237985165
NAM,2013,8.59541659523254
NAM,2014,3.66711166353218
NAM,2015,9.8507685020388
NAM,2016,10.5927948535144
NAM,2017,1.39524534605831
NAM,2018,8.88112249415185
NAM,2019,9.32253195522987
NAM,2020,9.27799879073429
NAM,2021,10.3914477380895
NAM,2022,9.3919470845238
NER,1971,1.0522700548172
NER,1990,2.07436990737915
NER,1991,2.30833005905151
NER,1992,2.24298000335693
NER,1993,2.06511998176575
NER,1994,2.26538991928101
NER,1995,2.32975006103516
NER,1996,2.14418005943298
NER,1999,2.56853008270264
NER,2000,2.5650200843811
NER,2001,2.27981996536255
NER,2002,2.40134000778198
NER,2003,1.93705999851227
NER,2006,2.55852007865906
NER,2007,3.01462006568909
NER,2008,2.72311997413635
NER,2009,3.33588004112244
NER,2010,2.7219500541687
NER,2011,3.07762002944946
NER,2012,3.1868200302124
NER,2013,3.68952989578247
NER,2014,5.10368013381958
NER,2015,4.48669004440308
NER,2016,2.95843005180359
NER,2017,2.57818007469177
NER,2018,3.44956994056702
NER,2019,3.53358621816013
NER,2020,3.81906792754322
NER,2021,3.82175828133515
NER,2022,3.71231832079626
NER,2023,4.07412707618114
NGA,1974,3.21017003059387
NGA,1975,3.0636899471283
NGA,2012,0.549233086121929
NGA,2013,0.534206768008091
NGA,2014,0.470742539133469
NGA,2015,0.436954905120644
NGA,2016,0.393045646249364
NGA,2017,0.396354013591345
NGA,2018,0.419998493796127
NGA,2019,0.358479005206684
NGA,2020,0.35963763718498
NGA,2021,0.381919104397325
NGA,2022,0.348516707890877
NGA,2023,0.319069049792343
NLD,1970,6.2120099067688
NLD,1971,6.3189001083374
NLD,1972,6.3092098236084
NLD,1973,5.83436012268066
NLD,1974,6.3265700340271
NLD,1975,6.36229991912842
NLD,1976,6.30300998687744
NLD,1977,6.17341995239258
NLD,1978,6.17533016204834
NLD,1979,6.0813798904419
NLD,1980,5.88414001464844
NLD,1981,5.7409200668335
NLD,1982,5.6866397857666
NLD,1983,5.49270009994507
NLD,1984,5.0826301574707
NLD,1985,5.46482992172241
NLD,1986,5.55336999893188
NLD,1987,5.88924980163574
NLD,1988,5.4634199142456
NLD,1990,5.22109985351562
NLD,1991,5.1540699005127
NLD,1993,4.74961996078491
NLD,1994,4.65639019012451
NLD,1995,4.57215023040771
NLD,1996,4.48540019989014
NLD,1998,4.53430986404419
NLD,1999,4.4996600151062
NLD,2000,4.58325004577637
NLD,2001,4.68933010101318
NLD,2002,4.78904008865356
NLD,2003,5.0199499130249
NLD,2004,5.0411901473999
NLD,2005,5.08871984481812
NLD,2006,5.01913976669312
NLD,2007,4.85854005813599
NLD,2008,4.99737977981567
NLD,2009,5.38561010360718
NLD,2010,5.45634984970093
NLD,2011,5.41595983505249
NLD,2012,5.36694002151489
NLD,2013,5.48417997360229
NLD,2014,5.40205001831055
NLD,2015,5.27802991867065
NLD,2016,5.38952016830444
NLD,2017,5.08747005462646
NLD,2018,5.26723003387451
NLD,2019,5.0559401512146
NLD,2020,5.29139995574951
NLD,2021,5.37661981582642
NLD,2022,5.17918014526367
NOR,1972,5.90405988693237
NOR,1973,5.89171981811523
NOR,1974,5.67365980148315
NOR,1975,5.55022001266479
NOR,1976,6.16359996795654
NOR,1977,5.97280979156494
NOR,1978,6.44437980651855
NOR,1980,5.78014993667603
NOR,1981,5.54364013671875
NOR,1982,5.6788501739502
NOR,1983,5.64629983901978
NOR,1984,5.42936992645264
NOR,1985,5.25567007064819
NOR,1986,5.53984022140503
NOR,1987,5.7880802154541
NOR,1988,5.86597013473511
NOR,1989,6.29984998703003
NOR,1990,6.31036996841431
NOR,1991,6.37321996688843
NOR,1992,6.63613986968994
NOR,1993,7.6766300201416
NOR,1994,7.83044004440308
NOR,1995,7.69568014144897
